Name,State,District,Party,Score,Lifetime Score,Letter to President Trump demanding reinstatement of NLRB Member Gwynn Wilcox,"H.R. 77, the Midnight Rules Relief Act. (H.R. 77)","H.R. 1526, The No Rogue Ruling Act (“NORRA”) (H.R. 1526)","H.Con.Res.14, House Fiscal Year 2025 Budget Resolution (H.Con.Res.14)","H.R. 22, The Safeguard American Voter Eligibility (SAVE) Act (H.R. 22)","H.R. 1, One Big Beautiful Bill Act (H.R. 1)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.R. 1, One Big Beautiful Bill Act, Cruz Amendment (H.R. 1)","H.R. 3633, Digital Asset Market Clarity Act of 2025 (H.R. 3633)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.Res. 936, Rule for National Defense Authorization Act for Fiscal Year 2026 (H.Res. 936)","H.R. 2550, Protecting America's Workforce Act (H.R. 2550)","H.R. 6703, Lower Health Care Premiums for All Americans Act  (H.R. 6703)"
Rep. Kat Cammack,FL,3,Republican,0%,1%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Aaron Bean,FL,4,Republican,0%,2%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. John Rutherford,FL,5,Republican,0%,17%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ
Rep. Randy Fine,FL,6,Republican,0%,0%,,,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Michael Waltz,FL,6,Republican,0%,14%,ｘ,,,,,,,,,,,,
Rep. Cory Mills,FL,7,Republican,0%,5%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mike Haridopolos,FL,8,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Darren Soto,FL,9,Democrat,92%,99%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Maxwell Frost,FL,10,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Daniel Webster,FL,11,Republican,0%,10%,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Gus Bilirakis,FL,12,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Anna Paulina Luna,FL,13,Republican,0%,3%,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Kathy Castor,FL,14,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Laurel Lee,FL,15,Republican,0%,7%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Vern Buchanan,FL,16,Republican,0%,13%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Greg Steube,FL,17,Republican,0%,5%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Scott Franklin,FL,18,Republican,0%,3%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Byron Donalds,FL,19,Republican,0%,1%,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ
Rep. Sheila Cherfilus-McCormick,FL,20,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Brian Mast,FL,21,Republican,0%,19%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
