Name,State,District,Party,Score,Lifetime Score,Letter to President Trump demanding reinstatement of NLRB Member Gwynn Wilcox,"H.R. 77, the Midnight Rules Relief Act. (H.R. 77)","H.R. 1526, The No Rogue Ruling Act (“NORRA”) (H.R. 1526)","H.Con.Res.14, House Fiscal Year 2025 Budget Resolution (H.Con.Res.14)","H.R. 22, The Safeguard American Voter Eligibility (SAVE) Act (H.R. 22)","H.R. 1, One Big Beautiful Bill Act (H.R. 1)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.R. 1, One Big Beautiful Bill Act, Cruz Amendment (H.R. 1)","H.R. 3633, Digital Asset Market Clarity Act of 2025 (H.R. 3633)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.Res. 936, Rule for National Defense Authorization Act for Fiscal Year 2026 (H.Res. 936)","H.R. 2550, Protecting America's Workforce Act (H.R. 2550)","H.R. 6703, Lower Health Care Premiums for All Americans Act  (H.R. 6703)"
Rep. Valerie Hoyle,OR,4,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Janelle S. Bynum,OR,5,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Andrea Salinas,OR,6,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Brian Fitzpatrick,PA,1,Republican,46%,58%,✓,✓,ｘ,ｘ,ｘ,ｘ,✓,✓,ｘ,✓,ｘ,✓,ｘ
Rep. Brendan Boyle,PA,2,Democrat,92%,97%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Dwight Evans,PA,3,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Madeleine Dean,PA,4,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Mary Gay Scanlon,PA,5,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Chrissy Houlahan,PA,6,Democrat,92%,97%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Ryan Mackenzie,PA,7,Republican,8%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
"Rep. Robert P. Bresnahan, Jr.",PA,8,Republican,8%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Daniel Meuser,PA,9,Republican,0%,12%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Scott Perry,PA,10,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ,ｘ,ｘ
Rep. Lloyd Smucker,PA,11,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ
Rep. Summer Lee,PA,12,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. John Joyce,PA,13,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Guy Reschenthaler,PA,14,Republican,0%,17%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Glenn Thompson,PA,15,Republican,0%,14%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mike Kelly,PA,16,Republican,0%,19%,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Chris Deluzio,PA,17,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Gabe Amo,RI,1,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Seth Magaziner,RI,2,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Nancy Mace,SC,1,Republican,0%,4%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Joe Wilson,SC,2,Republican,0%,10%,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Sheri Biggs,SC,3,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. William Timmons,SC,4,Republican,0%,5%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Ralph Norman,SC,5,Republican,0%,3%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. James E. Clyburn,SC,6,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Russell Fry,SC,7,Republican,0%,2%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Dusty Johnson,SD,0,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Diana Harshbarger,TN,1,Republican,0%,3%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Tim Burchett,TN,2,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Chuck Fleischmann,TN,3,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Scott DesJarlais,TN,4,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. William Ogles,TN,5,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. John Rose,TN,6,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mark Green,TN,7,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,◯,,,
Rep. Matt Van Epps,TN,7,Republican,0%,0%,,,,,,,,,,,ｘ,ｘ,ｘ
Rep. David Kustoff,TN,8,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Steve Cohen,TN,9,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Nathaniel Moran,TX,1,Republican,0%,2%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Dan Crenshaw,TX,2,Republican,0%,13%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Keith Self,TX,3,Republican,0%,4%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Pat Fallon,TX,4,Republican,0%,3%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Lance Gooden,TX,5,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Jake Ellzey,TX,6,Republican,0%,7%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Lizzie Fletcher,TX,7,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Morgan Luttrell,TX,8,Republican,0%,4%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Al Green,TX,9,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Michael McCaul,TX,10,Republican,0%,12%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. August Pfluger,TX,11,Republican,0%,3%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Craig A. Goldman,TX,12,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Ronny Jackson,TX,13,Republican,0%,3%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Randy Weber,TX,14,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mónica De La Cruz,TX,15,Republican,0%,7%,ｘ,◯,ｘ,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Veronica Escobar,TX,16,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Pete Sessions,TX,17,Republican,0%,7%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Sylvester Turner,TX,18,Democrat,100%,100%,✓,✓,,,,,,,,,,,
Rep. Jodey Arrington,TX,19,Republican,0%,7%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Joaquín Castro,TX,20,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Chip Roy,TX,21,Republican,0%,5%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Troy Nehls,TX,22,Republican,0%,3%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Tony Gonzales,TX,23,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Beth Van Duyne,TX,24,Republican,0%,1%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Roger Williams,TX,25,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Brandon Gill,TX,26,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Michael Cloud,TX,27,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Henry Cuellar,TX,28,Democrat,77%,73%,✓,ｘ,✓,✓,ｘ,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Sylvia Garcia,TX,29,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jasmine Crockett,TX,30,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. John Carter,TX,31,Republican,0%,10%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Julie Johnson,TX,32,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Marc Veasey,TX,33,Democrat,92%,98%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Vicente Gonzalez,TX,34,Democrat,85%,93%,ｘ,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Greg Casar,TX,35,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Brian Babin,TX,36,Republican,0%,10%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Lloyd Doggett,TX,37,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Wesley Hunt,TX,38,Republican,0%,2%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Blake Moore,UT,1,Republican,0%,5%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Celeste Maloy,UT,2,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mike Kennedy,UT,3,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Burgess Owens,UT,4,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Robert J. Wittman,VA,1,Republican,0%,13%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Jennifer Kiggans,VA,2,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Robert C. Scott,VA,3,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jennifer McClellan,VA,4,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. John J. McGuire III,VA,5,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Ben Cline,VA,6,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Eugene Simon Vindman,VA,7,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Donald Beyer,VA,8,Democrat,100%,96%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Morgan Griffith,VA,9,Republican,0%,12%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Suhas Subramanyam,VA,10,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Gerald E. Connolly,VA,11,Democrat,100%,94%,✓,✓,✓,✓,✓,,,,,,,,
Rep. James R. Walkinshaw,VA,11,Democrat,100%,100%,,,,,,,,,,,✓,✓,✓
Rep. Becca Balint,VT,0,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Suzan K. DelBene,WA,1,Democrat,92%,96%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Rick Larsen,WA,2,Democrat,100%,95%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Marie Gluesenkamp Perez,WA,3,Democrat,85%,77%,✓,✓,✓,✓,ｘ,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Dan Newhouse,WA,4,Republican,0%,22%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Michael Baumgartner,WA,5,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Emily Randall,WA,6,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,◯,✓,✓,✓,✓,✓,✓
Rep. Pramila Jayapal,WA,7,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Kim Schrier,WA,8,Democrat,92%,98%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Adam Smith,WA,9,Democrat,100%,96%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Marilyn Strickland,WA,10,Democrat,92%,99%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Bryan Steil,WI,1,Republican,0%,12%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mark Pocan,WI,2,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Derrick Van Orden,WI,3,Republican,8%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Gwen Moore,WI,4,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Scott Fitzgerald,WI,5,Republican,0%,3%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Glenn Grothman,WI,6,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Tom Tiffany,WI,7,Republican,0%,5%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Tony Wied,WI,8,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Carol Miller,WV,1,Republican,0%,13%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Riley M. Moore,WV,2,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Harriet Hageman,WY,0,Republican,0%,5%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
